name,brand,category,price,ingredients
Ocean Cleanser,Osea,all-cleansers,48.00," Aqua, Algae Extract*, Decyl Glucoside (Vegetable Foaming Agent), Sorbitan Olivate (Emulsifier from Olive Oil), Sesamum Indicum (Sesame) Seed Oil*, Simmondsia Chinensis (Jojoba) Seed Oil*, Magnesium Aluminum Silicate (Natural Smectite Clay), Tocopherol (Vitamin E), Citrus Aurantifolia (Lime) Oil*, Citrus Aurantium Dulcis (Orange) Oil*, Juniperus Communis (Juniper) Fruit Oil*, Cupressus Sempervirens (Cypress) Seed Oil*, Jasminum Officinale (Jasmine) Oil*, Lactic Acid (derived from fermented beet), Xanthan Gum, Glycine, Potassium Sorbate, Chlorophyll Extract *ORGANIC INGREDIENT"
Regenerating Cleanser,Tata Harper,all-cleansers,84.00," aloe barbadensis leaf juice*, cetearyl alcohol, cetearyl olivate, helianthus annuus (sunflower) seed oil*, prunus armeniaca (apricot) seed powder, sorbitan olivate, oryza sativa (rice) extract*, lactobacillus/punica granatum fruit ferment extract, leuconostoc ferment filtrate, aqua/water/eau, coco-glucoside, cetearyl glucoside, kaolin (white clay), sclerotium gum, cetyl palmitate, salix alba (willow) bark extract*, sorbitan palmitate, sodium phytate, ci77491 (red iron oxide), benzyl alcohol, aroma**, benzyl benzoate, citral, citronellol, eugenol, geraniol, limonene, linalool"
Resurfacing Mask,Tata Harper,all-cleansers,65.00," aloe barbadensis leaf juice*, salix alba (willow) bark extract, sclerotium gum, aqua/water/eau, lactobacillus ferment, maltooligosyl glucoside, lactobacillus/punica granatum fruit ferment extract, leuconostoc ferment filtrate, beta vulgaris/beet root extract/extrait de racine de betterave, kaolin (white clay), hydrogenated starch hydrolysate, hydrolyzed corn starch, aroma**, ci77491 (red iron oxide), sodium phytate, benzyl alcohol, citral, citronellol, eugenol, geraniol, limonene, linalool"
Camellia and Rose Gentle Hydrating Cleanser,Pai,all-cleansers,50.00," camellia: this rare oil has been used in japan for centuries as a skin cleanser and conditioner. packed full of omega 3 and vitamins a, b, c & e - it is the ultimate skin tonic. 
damask rose otto oil: helps skin to retain moisture. its rejuvenating and restorative properties leave skin beautifully toned and hydrated. 
aqua - purified water, camellia oleifera seed oil* - camellia oil, ricinus communis seed oil* - castor oil, prunus amygdalus dulcis oil* - sweet almond oil, cetearyl alcohol - coconut-derived emulsifier, glycerin* - vegetable glycerine, butyrospermum parkii butter* - shea butter, cetearyl glucoside - corn-derived emulsifier, sodium anisate - non-irritating preservative derived from basil, tocopherol - natural vitamin e, rosa damascena oil* - damask rose otto oil, pelargonium graveolens oil* - geranium oil, sodium levulinate - non-irritating preservative derived from corn, lavandula officinalis flower oil* - lavender oil, lactic acid - ph stabiliser derived from sugar beet, litsea cubeba fruit oil* - may chang oil, glyceryl stearate citrate - from sustainable palm oil , sodium lauroyl lactylate - from coconut oil. 
*organically produced (80% of product). 
naturally occurring molecules within essential oils: citronellol*, d-limonene*, geraniol*, linalool* 
certified organic by the soil association. 
suitable for vegans. not tested on animals. contains nut oil. 
our commitment to product purity means we never use alcohol (ethyl alcohols & alcohol denat), artificial fragrances, detergents (including sodium lauryl sulfate, cocamidopropyl betaine and decyl glucoside), formaldehyde (including sodium hydroxymethylglycinate), parabens (including japanese honeysuckle), phenoxyethanol and propylene glycol. Read More Read Less"
Doctor's Scrub Exfoliator,Goldfaden M.D.,all-cleansers,75.00," water, ruby crystals, simmondsia chinensis (jojoba) seed oil, cetyl alcohol, candelilla/jojoba/rice bran polyglyceryl-3 esters, glyceryl stearate, glycerin, sodium hyaluronate, squalane, cetearyl alcohol, magnesium aluminum silicate, sodium stearoyl lactylate, glyceryl caprylate, xanthan gum, phenoxyethanol, cellulose gum, ethylhexylglycerin, chondrus crispus (seaweed) extract , citrus paradisi (grapefruit) peel oil, aspalathus linearis (red tea) leaf extract"
Brightening Facial Scrub,Acure,all-cleansers,10.00," water/aqua, aloe barbadensis leaf juice, glycerin, sodium methyl cocoyl taurate, juglans regia (walnut) shell powder, kaolin (french green clay), sodium lauroamphoacetate, citrus limon (lemon) peel, sodium pca, sodium lauroyl lactylate, glyceryl laurate, sodium cocoyl isethionate, olea europaea (olive) fruit oil, laminaria digitata (kelp) powder, lilium candidum leaf (madonna) leaf culture extract, euterpe oleracea (acai) fruit extract, rubus fruticosus (blackberry) fruit extract, rosa canina fruit extract, punica granatum extract, calendula officinalis flower extract, chamomilla recutita (matricaria) flower extract, asphalatus linearis (rooibos) leaf extract, chlorophyll, chrondus crispus extract, argania spinosa callus culture extract, chlorella vulgaris extract, helianthus annuus (sunflower) seed oil, cymbopogon flexuosus (lemongrass) leaf oil, mentha virdis (spearmint) leaf oil, salvia sclarea (clary sage) oil, lavandula hybrida (lavandin) oil, cellulose gum, sodium levulinate, glucono-delta lactone, potassium sorbate Read More Read Less"
Daily Brightening Tonic,January Labs,all-cleansers,28.00,"
        water, aloe, lactic acid, lemon peel extract, orange fruit extract, apple fruit extract, witch hazel, organic sugar, black tea leaf extract, oat kernel extract, sodium pca, organic chamomile extract, glycerin, clary extract"
PlantGenius Creamy Bubbling Cleanser,Alpyn Beauty,all-cleansers,36.00," water, glycerin, sodium cocoyl isethionate, sodium hyaluronate, hamamelis virginiana (witch hazel) leaf extract, stearic acid, myristic acid, sodium methyl cocoyl taurate, cetearyl alcohol, lactobacillus/punica granatum (pomegranate) fruit ferment extract, polyacrylate-33, sodium cocoyl apple amino acids, dehydroacetic acid, benzyl alcohol, tromethamine, carica papaya (papaya) fruit extract, potassium sorbate, lavandula angustifolia (lavender) oil, citrus aurantium dulcis (orange) oil, eclipta prostrata extract, melia azadirachta leaf extract, moringa pterygosperma seed oil, glycolic acid, lactic acid, ascorbic acid (vitamin c), linoleic acid, simmondsia chinensis (jojoba) seed oil, salvia officinalis (sage) leaf extract, arnica montana (arnica) flower extract, borago officinalis (borage) flower extract, calendula officinalis (calendula) flower extract, chamomilla recutita (matricaria) flower extract, ceramide ng, alcohol Read More Read Less"
Luminous Melting Cleanser,Goop,all-cleansers,90.00," prunus amygdalus dulcis (sweet almond) oil*, olea europaea (olive) fruit oil*, cocos nucifera (coconut) oil*, polyglyceryl-10 laurate, helianthus annuus (sunflower) seed wax, butyrospermum parkii (shea) butter*, essential oil blend: monarda didyma (bergamot) oil, lavandula angustifolia (lavender) oil and citrus medica limonum (lemon) oil, iris pallida (sweet iris) leaf cell extract, narcissus poeticus (poet’s daffodil) flower extract, cetearyl alcohol, glyceryl stearate, jojoba esters, tocopherol, theobroma cacao (cocoa) seed butter. 
*certified organic ingredient. this product is formulated with 75% organic content."
Brightening Coconut Towelettes,Acure,all-cleansers,7.00," water (aqua), glycerin, decyl glucoside, aloe barbadensis leaf juice, cocos nucifera (coconut) water, cucumis sativus (cucumber) extract, argania spinosa (argan) kernal oil, glycine soja (soybean) oil, polysorbate 20, fragrance, sodium benzoate, potassium sorbate"
Daily Exfoliating Cleanser,Marie Veronique,all-cleansers,35.00," Camellia Sinensis (Green Tea) Leaf Infusion, Phaseolus Angularis (Adzuki) Bean Powder, Avena Sativa (Colloidal Oat) Kernel Flour, Leuconostoc/Radish Root Ferment Filtrate, Jojoba Beads, Aloe Barbadensis (Aloe Vera) Leaf Juice, Glycerin, Xanthan Gum, Salix Nigra (Willow) Bark Extract, Lactic Acid Extract, Chondrus Crispus (Irish Moss) Powder, Laminaria Digitata (Kelp) Powder, Rosmarinus Officinalis (Rosemary) Oleoresin, Althaea Officinalis (Marshmallow) Root Powder, Oryza Sativa (Rice) Bran, Honey, Lavandula Angustifolia (Lavender) Oil*, Potassium Polysorbate, Pelargonium Graveolens (Rose Geranium)*
* essential oils"
Goe Oil,Jao,all-cleansers,50.00," jojoba butter (simmondsia chinesis butter), sunflower oil (helianthus annuus), jojoba oil (simmondsia chinesis), monoi tiare (cocos nucifera, gardenia tahitensis), rice bran oil (oryza sativa), avocado butter (persea gratissima oil and hydrogenated vegetable oil), grape seed butter (vitis vinifera seed oil and hydrogenated vegetable oil), grape seed oil (vitis vinifera), cocoa butter (theobroma cacao), meadowfoam seed oil (limnanthus alba), rosehip oil (rosa rubiginosa), soy lecithin, pumpkin seed butter (cucurbita pepo seed oil and hydrogenated vegetable oil), mango butter (mangifera indica), cupuacu butter (theobroma grandiflorum), avocado oil (persea americana), shea butter (butyrospermum parkii), hemp seed oil (cannabis sativa), kukuinut oil (aleurite moluccans), chamomile oil (matricaria chamomilla), beeswax (cera alba), calendula oil (calendula officinalis), bergamot fruit oil (citrus bergamia), clary sage oil (salvia sclarea), palmarosa oil (cymbopogon martini), lavender oil (lavandula angustifolia), tocopherol (vitamin e), vitamin e acetate, rosemary oil extract (rosmarinus officinalis) Read More Read Less"
Restorative Tonic Mist,January Labs,all-cleansers,24.00,"
        Water, Aloe Organic Aloe Vera Leaf Juice, Witch Hazel, Sodium PCA, Rosa Extract,  Glycerin, Sodium Lactate,  Pro-Vitamin B5, Lime Oil, Licorice Extract, Horse Chestnut Extract, Hydrolyzed Yeast Protein, Calendula, Gotu Kola, Butcher’s Broom Root Extract"
Shower Sheets,Yuni,all-cleansers,15.00, Water Saccharomyces Ferment Filtrate Glycerin Pyrus Malus (Apple) Fruit Extract Polyglyceryl-4 Caprate Citrus Aurantium Amara (Bitter Orange) Leaf/Twig Oil Mentha Arvensis Leaf Oil Mentha Piperita (Peppermint) Oil Lavandula Angustifolia (Lavender) Oil Citrus Aurantium Bergamia (Bergamot) Fruit Oil Citrus Limon (Lemon) Peel Oil Rosmarinus Officinalis (Rosemary) Leaf Oil Mentha Viridis (Spearmint) Leaf Oil Citrus Aurantium Dulcis (Orange) Peel Oil Ormenis Multicaulis Oil Salvia Sclarea (Clary Sage) Oil Melia Azadirachta Leaf Extract Aloe Barbadensis Leaf Extract Chamomilla Recutita (Matricaria) Flower Extract Cucumis Sativus (Cucumber) Fruit Extract Panax Ginseng Root Extract Camellia Sinensis (Green Tea) Leaf Extract Camellia Sinensis (White Tea) Leaf Extract Decyl Glucoside Citric Acid Gluconic Acid Tetrasodium Glutamate Diacetate Potassium Sorbate Sodium Benzoate Read More Read Less
Jasmine Green Tea Balancing Toner,Herbivore Botanicals,all-cleansers,39.00,"
        jasminum officinale (jasmine) flower water, aloe barbadensis leaf water, zingiber officinale (ginger) root extract, hamamelis virginiana (witch hazel) flower water, salix alba (willow) bark extract, camellia sinensis (green tea) leaf extract, camellia sinensis (white tea) leaf extract, leuconostoc (radish root ferment filtrate), jasminum grandiflorum (jasmine) floral extract, citrus aurantium bergamia (bergamot) fruit oil, melia azadirachta leaf extract, melia azadirachta flower extract"
Replenishing Oil Cleanser,Marie Veronique,all-cleansers,40.00," carthamus  tinctorius  (safflower)  seed  oil,  helianthus  annuus  (sunflower)  seed  oil,  prunus  armeniaca  (apricot)  kernel  oil,  decyl  glucoside,  sucrose  cocoate,  tocotrienols  &  tocopherol  (vitamin  e  from  non-gmo  sources),  lavandula  angustifolia  (lavender)  oil,  sambucus  nigra  (elderberry)  extract,  xanthan  gum,  pelargonium  graveolens  (rose  geranium)  oil,  superoxide  dismutase  (sod),  probiotics,  galactooligosaccharides,  beta-glucan,  rosmarinus  officinalis  (rosemary)  oleoresin  "
Jao Refresher,Jao,all-cleansers,18.00," active ingredient: ethyl alcohol 65% (alcohol special denatured)
other ingredients: water distilled (water (aqua)), essential oils (lavender, tea tree, eucalyptus, geranium, clary sage), glycerine*, glyceryl polyacrylate, dl-panthenol, acrylates/c10-30 alkyl acrylate crosspolymer, aminomethyl propanol, ppg-20 methyl glucose ether distearate, aloe barbadensis^, matricaria recutita (chamomile extract), calendula officinalis (calendula extract) ^organic/non-gmo *our glycerine is vegetable based"
4-in-1 Essential Tonic,Ursa Major,all-cleansers,26.00," Aloe barbadensis leaf juice*, aqua/water/eau, leuconostoc/radish root ferment filtrate, salix nigra bark extract, rosmarinus officinalis leaf water, hamamelis virginiana leaf water*, glycerin, sodium hyaluronate, levulinic acid, sodium levulinate, saccharum officinarum (sugarcane) extract, citrus limon (lemon) fruit oil, citrus aurantium dulcis (orange) fruit extract, vaccinium myrtillus fruit extract, acer saccharum (sugar maple) extract, camellia sinensis leaf extract*, oryza sativa (rice) extract*, betula alba juice, lactobacillus/arundinaria gigantea ferment filtrate, caprylyl/capryl wheat bran/straw glycosides, fusel wheat bran/straw glycosides, polyglyceryl-5 oleate, sodium cocoyl glutamate, glyceryl caprylate, olea europaea leaf extract, pseudotsuga menziesii branch/leaf oil*, lavandula angustifolia flower oil*, rosmarinus officinalis leaf oil, pelargonium graveolens leaf oil*, boswellia carterii resin extract, alcohol, propanediol, leuconostoc ferment filtrate, soybean peroxidase, superoxide dismutase, citric acid, potassium sorbate, linalool, citronellol, geraniol, limonene*organic Read More Read Less"
Rosehip Cleanser,Indie Lee,all-cleansers,34.00," water (aqua/eau), glycerin, potassium cocoate, fragrance (parfum), chondrus crispus extract, rosa rubiginosa seed oil, coccinia indica fruit extract, corallina officinalis extract, melia azadirachta flower extract, melia azadirachta seed oil, propanediol, pentylene glycol, xanthan gum, phenethyl alcohol, betaine, citric acid, hexyl cinnamal
"
Bamboo Charcoal Soap,Herbivore Botanicals,all-cleansers,12.00,"
        saponified oils of cocos nucifera (coconut) oil, olea europaea (olive) fruit oil, elaeis guineensis (sustainable palm) oil, tocopherol (vitamin e), kaolinite (white clay), activated bamboo charcoal, melaleuca alternifolia (tea tree) leaf oil, citrus bergamia (bergamot) esssential oil"
The Vitamin Cleanse Facial Cleansing Cloths,Kaia Naturals,all-cleansers,16.00," Agua, Miel, Sorbitan Laurate, Helianthus Annuus (Sunflower Seed Oil), Hydrolyzed Jojoba Esters, Glycerin, Decyl Glucoslde, Polyglyceryl-4 Laurate, Dllauryl Citrate, Xanthan Gum, Citric Acid, Dehydroacetic Acid, Benzyl Alcohol, Potassium Sorbate, Sodium Benzoate, Citrus Sinensis (Orange) Peel Oll, Citrus Bergamla (Bergamot) Fruit Oil, Citrus Grandis (Grapefruit) Peel Oil, Citrus Medica Limonum (Lemon) Peel Oil, Citrus Aurantifolia (Lime) Oil, Citrus Nobilis (Mandarin Orange) Peel Oil, Mentha Splcata (Speamint) Leaf Oil, Lavandula Angustifolia (Lavender) Oll."
Raw Coconut Cream,RMS Beauty,all-cleansers,18.00," *cocos nucifera (coconut) oil. 
*certified organic"
Invigorating Mint Body Wash,basd body care,all-cleansers,16.00," organic aloe vera juice, sodium c14-16 olefin sulfonate, carya ovata bark extract, cocamidopropyl betaine, hydroxyethylcellulose, ethylene glycol distearate, peppermint oil, organic green tea extract, vitamin e oil, caprylyl glycol, sodium citrate, panthenol, allantoin"
Pink Clay Soap,Herbivore Botanicals,all-cleansers,12.00,"
        Saponified Oils of Cocos nucifera (Coconut) Oil, Olea europaea (Olive) Fruit Oil, Elaeis guineensis (Sustainable Palm) Oil, Tocopherol (Vitamin E), Kaolinite (White Clay), Kaolin (French Pink Clay), Pelargonium roseum asperum (Rose Geranium) Essential Oil, Citrus sinensis (Blood Orange) Essential Oil"
Active Enzyme Exfoliator,Josh Rosebrook,all-cleansers,65.00,"
        *honey, *vegetable glycerin, water, *soy lecithin, *avocado, *jojoba, *sunflower, *evening primrose, *neem, *echinacea, *hawthorn berry, *alfalfa, *ashwagandha, *goji berry, *beetroot, *bilberry, *black cohosh, *rosemary, *fennel, *dandelion, *calendula flowers, *fo ti root, *turmeric, *sage, *stevia, *chamomile, *rose hips, *licorice, *chick- weed, *horse chestnut, *eyebright, *st. john’s wort, *coriander, *burdock, *elderberry, *yucca, *thyme, *lavender, *olive leaf, *rasp- berry leaf, *red clover, *papaya enzyme, walnut shells, *xanthan gum, *guar gum, *gum arabic, †lemon essential oil, †cypress essential oil, †fennel essential oil, †bergamot essential oil, †lime 
essential oil. 
*certified organic, †organic"
Seriously Soothing Cleansing Cream,Acure,all-cleansers,10.00," water (aqua), sodium cocoyl isethionate, glyceryl stearate se, decyl glucoside, hydroxypropyl starch phosphate, glyceryl oleate, cocos nucifera (coconut) oil, glycerin, hydrolyzed jojoba esters, phenethyl alcohol, caprylyl glycol, sodium lauroyl lactylate, glyceryl caprylate, disodium coco-glucoside citrate, sclerotium gum, ethylhexylglycerin, jojoba esters, alcohol, glycerophosphoinositol lysine (sunflower lysine), anthemis nobilis flower oil (chamomile), rubus fruticosus (blackberry) fruit extract, rosa canina (rosehip) fruit extract, punica granatum (pomegranate) extract, euterpe oleracea (acai) fruit extract, chamomilla recutita (matricaria) flower extract, calendula officinalis (calendula) flower extract, aspalathus linearis (rooibos) leaf extract, isomalt, lecithin, argania spinosa sprout (argan) cell extract, sodium benzoate"
G.Tox Ultimate Dry Brush,Goop,all-cleansers,20.00, Natural sisal fibers from the Mexican agave plant
The Ultimate Makeup Remover Wipes,RMS Beauty,all-cleansers,16.00," 1 compostable 100% natural rayon wipe contains 2.6g certified organic coconut oil. 
*cocos nucifera (coconut) oil 
*signifies certified organic"
Gentle Cleansing Melt,Evolve Organic Beauty,all-cleansers,28.00," caprylic /capric triglyceride*, glycerin*, helianthus annuus (sunflower) seed oil*, prunus amygdalus dulcis (sweet almond) seed oil*, sucrose laurate, adansonia digitata (baobab) seed oil*, citrus aurantium dulcis (orange) fruit water*, vanilla planifolia (vanilla) fruit extract*, rosa damascena flower oil*, tocopherol. *ingredients from organic farming"
Gentle Gel Cleanser,Marie Veronique,all-cleansers,35.00," Camellia Sinensis (Green Tea) Leaf Infusion, Lavandula Angustifolia (Lavender) Hydrosol, Leuconostoc/Radish Root Ferment Filtrate, Populus Tremuloides (Aspen) Bark, Glycerin, Xanthan Gum, Camellia Oleifera (Camellia) Seed Oil, Sucrose Cocoate, Decyl Glucoside, Glycyrrhiza Glabra (Licorice) Root Extract, Cymbopogon (Palmarosa) Martini Oil*, Probiotics, Sodium Salicylate, Pelargonium Graveolens (Rose Geranium) Oil*, Lavandula Angustifolia (Lavender) Oil*, Beta-Glucan, Galactooligosaccharides, Citric Acid, Vetiveria Zizanoides (Vetiver) Root Oil*
* essential oils"
Complete Moisture Cleanse,Josh Rosebrook,all-cleansers,55.00," *aloe vera gel, aqua, †african black soap, *honey, *vegetable glycerin, *avocado, *jojoba, *argan, *evening primrose, *boabab, *hemp seed, *borage, *almond, *sunflower, *grape seed, *sesame, *sea buckthorn, *broccoli oil, saponifed coconut oil, *rose petal, *eyebright, *turmeric, *rosemary, *sage, *goji berry, *alfalfa, *beetroot, *dandelion, *ashwa- gandha, *marshmallow, *raspberry leaf, *chickweed, *calendula, *elder- berry, *rose hips, *ginkgo, *milk thistle, *black cohosh, *licorice, *gin- ger, *bladderwrack, *fenugreek, *hawthorn berry, *cats claw, *lavender, *st. johns wort, *cinnamon, §xanthan gum, §potassium sorbate, *vinegar, *vanilla extract, †rosemary essential oil, †ylang ylang essential oil, †euca- lyptus essential oil, †bergamot essential oil. 
*certified organic, †organic, ‡wildcrafted, §non-gmo plant sourced"
Probiotic Exfoliation Mask,Marie Veronique,all-cleansers,50.00," Camellia Sinensis (Green Tea) Leaf Infusion, Butyrospermum Parkii (Shea) Nut Butter, Lactobacillus/Lemon Peel Ferment Extract, Sodium Salicylate, Xanthan Gum, Potato Flour, Cocos Nucifera (Coconut) Flour, Lactic Acid Extract, Probiotics, Cyamopsis Tetragonoloba (Guar) Gum, Citrus Aurantium (Neroli) Oil*, Citrus Sinensis (Orange) Peel Oil, Citrus Limon (Lemon) Oil*, Pelargonium Graveolens (Rose Geranium) Oil*
* essential oils"
Seductive Sandalwood Body Wash,basd body care,all-cleansers,16.00," organic aloe vera juice, sodium c14-16 olefin sulfonate, cocamidopropyl betaine, hydroxyethylcellulose, bergamot sandalwood fragrance, ethylene glycol disterate, ethyhexylglycerin, phenylpropanol, organic green tea extract, vitamin e oil, caprylyl glycol, sodium citrate, panthenol, allantoin."
Gentle Cleanser,Peet Rivko,all-cleansers,28.00," water, glycerin, caprylic/capric triglyceride, lauryl glucoside, glyceryl stearate citrate, hydroxypropyl starch phosphate, coco-glucoside, glyceryl oleate, xanthan gum, propanediol, panthenol, allantoin, camellia sinensis leaf extract, stearic acid, aloe barbadensis leaf extract, gluconolactone, sodium benzoate"
Seriously Soothing Micellar Water Towelettes,Acure,all-cleansers,7.00," water (aqua), decyl glucoside, glycerin, pyrus malus, (apple) fruit extract, aloe barbadensis leaf juice, matricaria recutita (chamomile) extract, rosa damascena (rose) flower extract, cucumis sativus (cucumber) extract, avena sativa (oat) kernal extract, cocos nucifera (coconut) fruit extract, poloxamer 184, sodium benzoate, potassium sorbate, citric acid. "
