name,brand,category,price,ingredients,store,url,type
Oat Cleansing Facial Polish,Naturopathica,cleansers,62.0,"Aloe Barbadensis Leaf Juice, Helianthus Annuus Seed Oil, Cetearyl Alcohol, Cetearyl Glucoside, Simmondsia Chinensis Wax Beads, Avena Sativa Flour, Lactobacillus Ferment, Sesamun Indicum Seed Oil, Glycerin, Arachidyl Alcohol, Behenyl Alcohol, Arachidyl Glucoside, Water, Avena Sativa Extract, Triticum Vulgare Germ Oil, Chitin, Beta Glucan, Glyceryl Caprylate, Sclerotium Gum, Rosmarinus Officinalis Leaf Extract, P-Anisic Acid, Lavandula Angustifolia Flower Oil, Rosa Damascena Flower Oil, Nardostachys Chinensis Root Oil, Cananga Odorata Flower Oil, Xanthan Gum, Phenethyl Alcohol",Follain,https://follain.com//collections/skincare-cleansers/products/oat-cleansing-facial-polish,clean
Aloe Cleansing Gel,Naturopathica,cleansers,38.0,"Aloe Barbadensis Leaf Juice, Decyl Glucoside, Sodium Cocoyl Glutamate, Glycerin, Lavandula Angustifolia Flower Water, Xylitylglucoside, Anhydroxylitol, Xylitol, Lactobacillus Ferment, Sclerotium Gum, Coco-Glucoside, Glyceryl Oleate, Avena Sativa Extract, Lavandula Angustifolia Flower Oil, Rosa Damascena Flower Oil, Lavandula Burnati Flower, Cananga Odorata Flower Oil, Potassium Sorbate, Water, Citric Acid",Follain,https://follain.com//collections/skincare-cleansers/products/aloe-cleansing-gel,clean
Hydrating Cleanser: Purify + Nourish,Follain,cleansers,22.0,"Water, Glycerin, Potassium Cocoyl Glycinate, Glyceryl Caprylate, Decyl Glucoside, Potassium Cocoate, 12Hexanediol, Salix Nigra Bark Extract, Rosa Canina Fruit Oil, Camellia Sinensis Leaf Extract, Moringa Oleifera Leaf Extract, Macrocystis Pyrifera Extract, Citrus Reticulata Peel Oil, Citrus Paradisi Peel Oil, Citric Acid, Glyceryl Caprylate, Xanthan Gum, Ethylhexylglycerin, Sodium Gluconate, Cocamide MIPA, Caprylhydroxamic Acid, Citrus Limon Peel Extract, Potassium Sorbate, Sodium Benzoate",Follain,https://follain.com//collections/skincare-cleansers/products/follain-hydrating-cleanser,clean
Ocean Cleansing Mudd,OSEA,cleansers,48.0,"Water, Macrocystis Pyrifera Algae, Decyl Glucoside, Sodium Lauroyl Oat Amino Acids, Fucus Vesiculosus Extract, Laminaria Digitata Extract, Coco Glucoside, Coconut Alcohol, Sorbitan Olivate, Simmondsia Chinensis Oil Seed Oil, Carthamus Tinctorius Seed Oil, Melaleuca Alternifolia Essential Oil, Rosmarinus Officinalis Leaf, Salvia Officinalis Essential Oil, Lavandula Angustifolia Essential Oil, Mentha Piperita Essential Oil, Cupressus Sempervirens Essential Oil, Tocopherol, Vaccinium Myrtillus Extract, Citrus Aurantium Dulcis Fruit Extract, Citrus Medica Limonium Fruit Extract, Acer Saccharinum Extract, Magnesium Aluminum Silicate, Xanthan Gum, Potassium Sorbate, Lonicera Caprifolium Extract",Follain,https://follain.com//collections/skincare-cleansers/products/osea-ocean-cleansing-mudd,clean
Camellia & Rose Gentle Hydrating Cleanser,Pai,cleansers,50.0,"Water - Purified Water, Camellia Oleifera Seed Oil, Ricinus Communis Seed Oil - Castor Oil, Prunus Amygdalus Dulcis Oil, Lactobacillus Ferment - Naturally Derived Preservative, Cetearyl Alcohol, Glycerin - Organic Derived Vegetable Glycerine, Butyrospermum Parkii Butter, Cetearyl Glucoside, Tocopherol - Natural Vitamin E, Rosa Damascena Oil - Rose Oil, Pelargonium Graveolens Oil, Sodium Levulinate - Naturally Derived Preservative, Lavandula Augustifolia Oil - Lavender Oil, Lactic Acid - Ph Regulator, Litsea Cubeba Oil - May Chang Oil, Sodium Stearoyl Glutamate, Sodium Anisate - Naturally derived Preservative, Citral, Citronellol, d-Limonene, Geraniol, Linalool",Follain,https://follain.com//collections/skincare-cleansers/products/pai-camellia-rose-gentle-hydrating-cleanser,clean
Ocean Cleansing Milk,OSEA,cleansers,54.0,"Water, Algae Extract, Carthamus Tinctorius Seed Oil, Coco Caprylate, Sodium Lauroyl Oat Amino Acids, Disodium Cocoyl Glutamate, Sorbitan Olivate, Decyl Glucoside, Glycerin, Dipalmitoyl Hydroxyproline, Capryloyl Glycine, Acacia Farnesiana Flower Wax, Rosa Centifolia Flower Wax, Sodium Palmitoyl, Water Lily Extract, Undecylenoyl Glycine, Magnesium Ascorbyl Phosphate, Hamamelis Virginiana, Anthemis Nobilis Flower Extract, Rosmarinus Officinalis Leaf, Chondrus Crispus, Xanthan Gum, Glycine, Potassium Sorbate",Follain,https://follain.com//collections/skincare-cleansers/products/osea-ocean-cleansing-milk,clean
The Cleansing Sponge – Rose Clay,One Love Organics,cleansers,10.0,"Konjac-Mannan Plant Fiber, kaolin-illitee",Follain,https://follain.com//collections/skincare-cleansers/products/the-cleansing-sponge-rose-clay,clean
Light Work Rosehip Cleansing Oil,Pai,cleansers,56.0,"Olea Europaea Fruit Oil, Helianthus Annuus Seed Oil, Polyglyceryl-4 Oleate, Ricinus Communis Seed Oil, Rosa Canina Fruit Extract, Jasminum Grandiflorum Flower Extract, Citrus Aurantifolia Peel Oil, Citrus Aurantium Dulcis Peel Oil, Pelargonium Graveolens Oil, Ocimum Basilicum Oil, Tocopherol, Rosmarinus Officinalis Leaf Extract, Limonene, Citronellol, Geraniol, Citral, Linalool",Follain,https://follain.com//collections/skincare-cleansers/products/pai-light-work-rosehip-cleansing-oil,clean
Charcoal Bar Soap,Herbivore Botanicals,cleansers,12.0,"Saponified Oils Of Cocos Nucifera Oil, Olea Europaea Fruit Oil, Elaeis Guineensis Oil, Tocopherol, Kaolinite, Activated Bamboo Charcoal, Melaleuca Alternifolia Leaf Oil, Citrus Bergamia Essential Oil",Follain,https://follain.com//collections/skincare-cleansers/products/herbivore-botanicals-charcoal-bar-soap,clean
The Cleansing Sponge – Charcoal,One Love Organics,cleansers,10.0,"Konjac-Mannan Plant Fiber, Bamboo Charcoal",Follain,https://follain.com//collections/skincare-cleansers/products/one-love-organics-the-cleansing-sponge,clean
Black Clay Facial Soap,Osmia,cleansers,24.0,"Saponified Oils, Responsibly-Sourced Elaeis Guineensis, Mangifera Indica, Cocos Nucifera, Prunus Dulcis, Ricinus Communis, Persea Gratissma, Cocos Nucifera Milk, Dead Sea Mud, Saponified Simmondsia Chinensis Oil, Iron Oxide, Proprietary Blend Of Organic & Wild-Harvested Essential Oils, Non-GMO Mixed Tocopherols, Rosmarinus Officinalis Co2",Follain,https://follain.com//collections/skincare-cleansers/products/osmia-black-clay-facial-soap,clean
Clarifying Cleanser,Tata Harper,cleansers,72.0,"Hordeum Vulgare Leaf Juice, Caprylyl, Coco Glucoside, Glycerin, Decyl Glucoside, Lauryl Glucoside, Water, Maltooligosyl Glucoside, Mel, Salix Alba Bark Extract, Hydrogenated Starch Hydrolysate, Aroma, Hydrolyzed Opuntia Ficus-Indica Flower Extract, Lactobacillus Ferment, Leuconostoc Ferment Filtrate, Gaultheria Procumbens Leaf Extract, L Lactic Acid, Citric Acid, Yucca Schidigera Extract, Chlorella Pyrenoidosa, Juniperus Communis Fruit Extract, Saccharide Isomerate, Arnica Montana Extract, Borago Officinalis Leaf Extract, Calendula Officinalis Flower Extract, Medicago Sativa Extract, Spiraea Ulmaria Extract, Olea Europaea Oil, Serenoa Serrulata Fruit Extract, Tocopherol, Sambucus Nigra Fruit Extract, P-Anisic Acid, Menthol, Menthyl Lactate, Sodium Phytate, Acacia Senegal Gum, Xanthan Gum, Sodium Citrate, Sodium Caproyl, Polyglyceryl-10 Laurate, CI 77288, Alcohol, Limonene, Linalool",Follain,https://follain.com//collections/skincare-cleansers/products/clarifying-cleanser,clean
Australian Wild Plum & Willow Facial Cleanser,Pangea Organics,cleansers,32.0,"Aloe Barbadensis Leaf Juice, Decyl Glucoside, Water, Glycerin, Sodium Benzoate & Gluconic Acid & Water, Salvia Sclarea Oil, Salvia Officinalis Oil, Aniba Rosaeodora Wood Oil, Lavandula Angustifolia Oil, Citrus Aurantium Dulcis Oil, Citrus Aurantium Bergamia Oil, Elettaria Cardamomum Oil, Vitis Vinifera Seed Extract, Salix Alba Bark Extract, Sambucus Nigra Fruit Extract, Melissa Officinalis Extract, Tilia Cordata Flower Extract, Sodium Alginate, Xanthan Gum, Potassium Sorbate, Yucca Schidigera Root Extract, Terminalia Ferdinandiana Extract, Pleiogynium Timorense Extract, Podocarpus Elatus Extract, Leptospermum Scoparium Mel, Potassium Cocoate, Argania Spinosa Kernel Oil",Follain,https://follain.com//collections/skincare-cleansers/products/pangea-australian-wild-plum-willow-facial-cleanser,clean
Fine Herbal Cleanser,Farmaesthetics,cleansers,42.0,"Witch Hazel, Vegetable Glycerin, acylglutamate, Geranium Essential Oil, Lavender Essential Oil",Follain,https://follain.com//collections/skincare-cleansers/products/farmaesthetics-fine-herbal-cleanser,clean
Clean Dirt,May Lindstrom,cleansers,70.0,"Kaolin Clay, Red Moroccan Rhassoul Clay, Red Alaea Sea Salt, L-Ascorbic Acid, Sodium Bicarbonate, Althaea Officinalis Root, Rosa Centifolia, Calendula Officinalis Flower, Cinnamomum Zealanicum Blum, Myristica Fragans, Syzygium Aromaticum, Curcuma Longa, Zingiber Officinale, Vanilla Planifolia Bean, Theobroma Cacao, Eugenol",Follain,https://follain.com//collections/skincare-cleansers/products/may-lindstrom-clean-dirt,clean
Complete Moisture Cleanse,Josh Rosebrook,cleansers,55.0,"Aloe Vera Gel, Saponified Coconut Oil, Water, Honey, Vegetable Glycerin, Xanthan Gum, Broccoli Seed Oil, Jojoba Oil, Baobab Oil, Hemp Seed Oil, Borage Seed Oil, Argan Oil, Sea Buckthorn Oil, Avocado Oil, Evening Primrose Oil, Almond Oil, Sunflower Oil, Grape Seed Oil, Sesame Seed Oil, Rose Petal, Eye Bright Herb Extract, Turmeric, Rosemary, Sage Extract, Goji Berry, Alfalfa, Beet Root, Dandelion, Ashwagandha, Marshmallow Root, Raspberry Leaf Extract, Chickweed, Calendula Extract, Elderberry, Rose Hips, Ginkgo Leaf, Milk Thistle, Black Cohosh, Licorice Root Extract, Ginger Root, Bladderwrack, Fenugreek, Hawthorn Berry, Cats Claw, Lavender Flowers, St. Johns Wort Extract, Cinnamon, Potassium Sorbate, Vanilla Extract, Rosmarinus Officinalis Leaf, Ylang Ylang Oil, Eucalyptus Leaf Oil",Follain,https://follain.com//collections/skincare-cleansers/products/josh-rosebrook-complete-moisture-cleanse,clean
Nourishing Oil Cleanser,Tata Harper,cleansers,82.0,"Helianthus Annuus Seed Oil, Shea Butter Ethyl Esters, Polyglyceryl-4 Oleate, Prunus Armeniaca Kernel Oil, Simmondsia Chinensis Seed Oil, Olea Europaea Oil, Argania Spinosa Kernel Oil, Plukenetia Volubilis Seed Oil, Camellia Oleifera Seed Oil, Jojoba Esters, Arnica Montana Extract, Borago Officinalis Leaf Extract, Medicago Sativa Extract, Filipendula Ulnaria Extract, Calendula Officinalis Flower Extract, Sambucus Nigra Fruit Extract, Tocopherol, Aroma, Citral, Citronellol, Eugenol, Geraniol, Limonene, Linalool",Follain,https://follain.com//collections/skincare-cleansers/products/nourishing-oil-cleanser,clean
Egyptian Calendula & Blood Orange Facial Cleanser,Pangea Organics,cleansers,32.0,"Aloe Barbadensis Leaf Juice, Decyl Glucoside, Purified Water, Glyceryl Stearate SE, Helianthus Annuus Oil, Sodium Stearoyl Lactylate, Glyceryl Caprylate, Glyceryl Undecylenate, Xanthan Gum, Cocos Nucifera Oil, Prunus Amygdalus Dulcis Oil, Butyrospermum Parkii Butter, Oenothera Biennis Oil, Lecithin, Theobroma Cacao Seed Butter, Glycerin, Rosa Damasena Flower Extract, Rosmarinus Officnalis Leaf Extract, Calendula Offincalis Flower Extract, Lavandula Angustifolia Flower, Calendula Officinalis Flower Oil, Citrus Sinesis Extract, Potassium Sorbate, Ascorbic Acid",Follain,https://follain.com//collections/skincare-cleansers/products/pangea-egyptian-calendula-blood-orange-facial-cleanser,clean
Organic Face Wash,Leap Organics,cleansers,18.0,"Water, Organic Aloe Barbadensis Juice, Organic Vegetable Glycerin, Organic Cocos Nucifera Oil, Organic Helianthus Annuus Oil, Organic Cyamopsis Tetragonolobus Gum, Potassium Hydroxide, Organic Simmondsia Chinensis Oil, Organic Oenothera Biennis Oil, Organic Citrus Sinensis Oil, Organic Citrus Paradisi Oil, Organic Persea Gratissima Oil, Organic Orbignya Oleifera Oil, Organic Butyrospermum Parkii Butter, Organic Rosmarinus Officinalis Extract, Non-GMO Mixed Tocopherols",Follain,https://follain.com//collections/skincare-cleansers/products/organic-face-wash,clean
The Pendulum Potion,May Lindstrom,cleansers,80.0,"Calophyllum Inophyllum Seed Oil, Camellia Oleifera Seed Oil, Macadamia Ternifolia Seed Oil, Persea Gratissima Oil, Olea Europaea Fruit Oil, Prunus Domestica Oil, Theobroma Cacao Oleoresin, Citrus Sinensis Peel Essential Oil, Commiphora Myrrha Oil, Jasminum Grandiflorum Flower Absolute, Cananga Odorata Oil, Citrus Limon Peel Oil, Boswellia Serrate Gum Oil, Myroxylon Pereirae Oil, Limonene, Benzyl Benzoate, Linalool, Benzyl Cinnamate",Follain,https://follain.com//collections/skincare-cleansers/products/the-pendulum-potion,clean
Purifying Cleansing Gel,Tammy Fender,cleansers,50.0,"Aloe Barbadensis Leaf Juice, Cucumis Sativus Fruit Water, Rosmarinus Officinalis Leaf Water, Sodium Laurylglucosides Hydroxypropylsulfonate, Cocamidopropyl Hydroxysultaine, Myristamine Oxide, Arctium Lappa Root Extract, Lavandula Angustifolia Oil, Glycerin, Mentha Viridis Leaf Oil, Lavandula Hybrida Oil, Nasturtium Officinale Flower, Caprylyl, Decyl Glucoside, Chlorophyllin-Copper Complex, Sodium Benzoate, Potassium Sorbate, Caprylic, Medicago Sativa Leaf Powder",Follain,https://follain.com//collections/skincare-cleansers/products/tammy-fender-purifying-cleansing-gel,clean
Coconut Cream,RMS Beauty,cleansers,18.0,Coconut Oil,Follain,https://follain.com//collections/skincare-cleansers/products/rms-beauty-coconut-cream,clean
Fight Grime Cleanser,27 Rosiers,cleansers,39.0,"Water, Decyl Glucoside, Glycerin, Pentylene Glycol, Sodium Cocoyl Glutamate, Sorbitan Oleate Decylglucoside Crosspolymer, Moringa Oleifera Seed Extract, Withania Somnifera Root Extract, Aloe Barbadensis Leaf Juice, Calendula Flower Extract, Chamomilla Recutita Flower Extract, Fructose, Saccharide Isomerate, Glyceryl Caprylate, Phytic Acid, Maltodextrin, Acrylates, Sodium Hydroxide, Citric Acid, Potassium Sorbate, Sodium Benzoate, Fragrance",Follain,https://follain.com//collections/skincare-cleansers/products/27-rosiers-fight-grime-cleanser,clean
Cleansing Perfection Foam,Patyka,cleansers,33.0,"Hordeum Vulgare Stem Water, Water, Coco Glucoside, Sodium Lauryl Glucose Carboxylate, Lauryl Glucoside, Apricot Kernel Oil Polyglyceryl-6 Esters, Parfum, Betaine, Levulinic Acid, Cocamidopropyl Betaine, Citric Acid, Glycerin, Sodium Benzoate, Sodium Levulinate, Alpha-Glucan Oligosaccharide, Potassium Sorbate, Sorbic Acid, Vaccinium Myrtillus Fruit, Saccharum Officinarum Extract, Citrus Aurantium Dulcis Fruit Extract, Citrus Medica Limonum Fruit Extract, Acer Saccharum Extract, Malva Sylvestris Leaf Extract",Follain,https://follain.com//collections/skincare-cleansers/products/cleansing-perfection-foam,clean
The Clean Slate,La Bella Figura,cleansers,60.0,"theobroma grandiflorum butter, Camellia Oleifera Seed Oil, Vitis Vinifera Seed Oil, Cetearyl Olivate Sorbitan Olivate, Decyl Glucoside, Citrus Limon Kernel Oil, Coriandrum Sativum Seed Oil CO2, Vetiveria Zizanioides Oil CO2, Citrus Aurantium Var. Amara Blossom Extract, Arnica Montana Extract CO2",Follain,https://follain.com//collections/skincare-cleansers/products/the-clean-slate,clean
COQ-10 Toner,Indie Lee,toners,34.0,"Water, Aloe Vera Leaf Juice, Ubiquinone, Sodium Hyaluronate, Chamomile, Sage, Papaya Leaf Extract, Cucumber Fruit Extract, Citrus Aurantium Flower Oil, Propanediol, Ethylhexylglycerin, Potassium Sorbate",Follain,https://follain.com//collections/skincare-toners/products/coq-10-toner,clean
Hydrating Accelerator,Josh Rosebrook,toners,35.0,"Aloe Vera Leaf Juice, Jojoba Oil, Marula Oil, Evening Primrose Oil, Hemp Seed Oil, Borage Oil, Sweet Almond Oil, Grape Seed Oil, Sesame Seed Oil, Seabuckthorn Essential Oil, Goji Fruit Extract, Ashwagandha, Calendula, Black Cohosh, Dandelion Extract, Fo Ti Root Extract, Alfalfa, Bilberry, Rosemary, Turmeric, Elderberry, Raspberry Leaf Extract, Burdock, Chamomile, Rose Hips, Eye Bright Herb Extract, Beet Root Extract, St. Johns Wort Extract, Hawthorn Berry, Chickweed, Licorice Root Extract, Coriander, Horse Chestnut Extract, Lavender, Red Clover, Olive Leaf Extract, Sage Extract, Thyme, Vitamin E, Guar Gum Extract, Acacia Arabica Gum, Xanthan Gum, Potassium Sorbate, Vanilla Extract, Ylang Ylang Oil, Rosmarinus Officinalis Leaf, Eucalyptus Leaf Oil, Bergamot Essential Oil, Carrot Seed Oil",Follain,https://follain.com//collections/skincare-toners/products/josh-rosebrook-hydrating-accelerator,clean
Toning Mist: Balance + Prime,Follain,toners,18.0,"Water, Aloe Barbadensis Leaf Juice, 12Hexanediol, Pentylene Glycol, Rosa Damascena Flower Water, Chamomilla Recutita Flower Extract, Rosa Canina Fruit Extract, Moringa Oleifera Leaf Extract, Ubiquinone, Cryptomeria Japonica Branch, Macrocystis Pyrifera Extract, Glycerin, Citrus Limon Peel Extract, Butylene Glycol, Galactoarabinan, Sodium PCA, Tetrasodium Glutamate Diacetate, Sodium Benzoate, Xanthan Gum, Potassium Sorbate, Citric Acid",Follain,https://follain.com//collections/skincare-toners/products/follain-toning-mist,clean
4-in-1 Face Tonic,Ursa Major,toners,26.0,"Aloe Barbadensis Leaf Juice, Water, Leuconostoc, Salix Nigra Bark Extract, Rosmarinus Officinalis Leaf Water, Hamamelis virginiana leaf water, Glycerin, Sodium Hyaluronate, Levulinic Acid, Sodium Levulinate, Saccharum Officinarum Extract, Citrus limon fruit oil, Citrus Aurantium Dulcis Fruit Extract, Vaccinium myrtillus fruit extract, Acer Saccharum Extract, Camellia sinensis leaf extract, Oryza sativa extract, Betula alba juice, Lactobacillus, Caprylyl, Sodium Cocoyl Glutamate, Glyceryl Caprylate, Olea Europaea Leaf Extract, Pseudotsuga menziesii branch, Lavandula angustifolia flower oil, Rosmarinus Officinalis Leaf Oil, Pelargonium graveolens leaf oil, Boswellia carterii resin extract, Alcohol, Propanediol, Leuconostoc Ferment Filtrate, Soybean Peroxidase, Superoxide Dismutase, Citric Acid, Potassium Sorbate, Linalool, Citronellol, Geraniol, Limonene",Follain,https://follain.com//collections/skincare-toners/products/ursa-major-4-in-1-face-tonic,clean
Bulgarian Rose Water,Tammy Fender,toners,65.0,"Rosa Centifolia Flower Water, Rosa Damascene Oil, Rosa Centifolia Oil, Leuconostoc, Lactobacillus, Cocos Nucifera Fruit Extract, Caprylyl",Follain,https://follain.com//collections/skincare-toners/products/tammy-fender-bulgarian-rose-water,clean
Jasmine Green Tea Balancing Toner,Herbivore Botanicals,toners,39.0,"Jasminum Officinale Flower Water, Aloe Barbadensis Leaf Water, Hamamelis Virginiana Flower Water, Salix Alba Bark Extract, Glycerin, Leuconostoc, Jasminum Grandiflorum Flower Extract, Citrus Aurantium Bergamia Fruit Oil, Camellia Sinensis leaf Extract, Avena sativa Kernel Extract, Potassium Sorbate, Melia Azadirachta Leaf Extract",Follain,https://follain.com//collections/skincare-toners/products/jasmine-green-tea-balancing-toner,clean
The Jasmine Garden,May Lindstrom,toners,70.0,"Colloidal Silver, Hamamelis Virginiana Water, Jasminum Grandiflorum Flower Extract, Jasminum Officinale Extract, Rosa Damascena Flower Oil, Cananga Odorata Oil, Vanilla Planifolia Fruit Extract, Theobroma Cacao Extract",Follain,https://follain.com//collections/skincare-toners/products/may-lindstrom-the-jasmine-garden,clean
